date id ninfected nrecovered ndeceased
35 19 38 524 6
35 20 640 5055 92
35 15 3 17 0
35 22 35 195 7
35 24 28 144 0
35 26 326 841 5
36 29 3 3 0
36 12 5 327 7
36 11 77 1620 26
36 10 23 315 6
36 0 175 32079 292
36 25 0 3 0
36 6 31 253 4
36 8 82 931 9
36 14 178 2267 22
36 30 0 5 0
36 9 17 946 11
36 2 83 4406 46
36 21 70 589 9
36 28 8 30 0
36 5 43 1697 18
36 23 26 138 0
36 27 1 13 0
36 7 196 3668 43
36 4 103 4698 47
36 1 62 1361 16
36 13 120 1313 16
36 16 17 230 2
36 17 9 52 1
36 18 21 135 2
36 3 90 3765 45
36 19 24 550 6
36 20 630 5492 97
36 15 5 18 0
36 22 35 214 7
36 24 29 162 0
36 26 406 1059 8
37 29 7 4 0
37 12 4 329 7
37 11 83 1669 26
37 10 29 327 6
37 0 158 32187 293
37 25 0 3 0
37 6 29 274 4
37 8 68 982 9
37 14 164 2401 23
37 30 0 5 0
37 9 15 957 11
37 2 58 4464 46
37 21 85 626 9
37 28 8 31 0
37 5 46 1720 18
37 23 21 154 0
37 27 1 14 0
37 7 218 3789 44
37 4 103 4756 47
37 1 60 1399 16
37 13 103 1388 16
37 16 9 241 2
37 17 8 56 1
37 18 14 148 2
37 3 92 3813 46
37 19 40 564 6
37 20 661 5929 99
37 15 5 21 0
37 22 36 234 7
37 24 33 180 1
37 26 416 1348 12
38 29 6 9 0
38 12 6 333 7
38 11 62 1723 29
38 10 36 345 6
38 0 159 32283 293
38 25 1 3 0
38 6 29 290 5
38 8 90 1022 9
38 14 145 2516 26
38 30 0 5 0
38 9 11 968 11
38 2 64 4497 47
38 21 96 675 9
38 28 5 36 0
38 5 44 1746 18
38 23 16 169 0
38 27 2 15 0
38 7 206 3931 47
38 4 79 4823 47
38 1 75 1433 16
38 13 124 1448 17
38 16 8 246 2
38 17 3 61 1
38 18 19 154 3
38 3 73 3874 46
38 19 31 592 7
38 20 620 6380 101
38 15 8 22 0
38 22 27 259 7
38 24 26 202 1
38 26 474 1638 15
39 31 2 0 0
39 29 5 14 0
39 12 4 335 7
39 11 68 1759 29
39 10 47 361 7
39 0 137 32384 294
39 25 0 4 0
39 6 25 306 5
39 8 68 1083 9
39 14 147 2607 26
39 30 0 5 0
39 9 13 975 11
39 2 73 4533 48
39 21 96 733 10
39 28 4 40 0
39 5 33 1776 18
39 23 27 180 0
39 27 4 16 0
39 7 205 4065 48
39 4 77 4875 47
39 1 69 1478 18
39 13 109 1531 17
39 16 6 253 2
39 17 5 62 1
39 18 16 166 3
39 3 73 3923 46
39 19 50 611 7
39 20 631 6787 110
39 15 4 29 0
39 22 21 278 7
39 24 27 217 1
39 26 496 1969 23
40 31 3 1 0
40 29 14 17 0
40 12 7 335 7
40 11 61 1805 29
40 10 43 387 7
40 0 133 32467 294
40 25 2 4 0
40 6 28 320 5
40 8 92 1129 9
40 14 118 2707 26
40 30 0 5 0
40 9 15 987 11
40 2 49 4580 48
40 21 85 793 10
40 28 8 41 0
40 5 47 1793 18
40 23 42 195 0
40 27 3 19 0
40 7 189 4199 49
40 4 60 4923 48
40 1 65 1517 18
40 13 122 1606 17
40 16 3 259 2
40 17 4 66 1
40 18 17 174 3
40 3 59 3972 46
40 19 33 646 7
40 20 571 7213 117
40 15 3 33 0
40 22 37 291 7
40 24 32 230 1
40 26 587 2299 30
41 31 8 2 0
41 29 19 26 0
41 12 5 339 7
41 11 54 1845 30
41 10 44 412 7
41 0 136 32542 294
41 25 3 6 0
41 6 23 341 5
41 8 66 1190 11
41 14 114 2786 27
41 30 0 5 0
41 9 17 995 11
41 2 54 4607 49
41 21 97 839 10
41 28 3 47 0
41 5 46 1824 18
41 23 44 224 0
41 27 6 21 0
41 7 206 4323 49
41 4 55 4957 48
41 1 70 1552 19
41 13 109 1686 19
41 16 1 261 2
41 17 8 67 1
41 18 17 183 3
41 3 55 4010 46
41 19 48 663 7
41 20 466 7620 120
41 15 3 33 0
41 22 39 316 7
41 24 35 249 1
41 26 669 2690 36
42 31 7 5 0
42 29 14 39 0
42 12 9 341 7
42 11 66 1879 31
42 10 44 439 7
42 0 136 32610 294
42 25 1 7 0
42 6 28 349 6
42 8 68 1231 11
42 14 98 2863 28
42 30 0 5 0
42 9 17 1006 11
42 2 44 4647 49
42 21 81 894 11
42 28 3 49 0
42 5 57 1849 18
42 23 46 250 0
42 27 4 26 0
42 7 200 4456 51
42 4 51 4989 48
42 1 63 1599 19
42 13 85 1754 20
42 16 4 261 2
42 17 7 71 1
42 18 20 189 3
42 3 59 4046 46
42 19 54 692 7
42 20 458 7944 124
42 15 5 34 0
42 22 37 341 7
42 24 25 274 2
42 26 764 3117 43
43 31 9 8 1
43 29 24 48 0
43 12 8 347 7
43 11 71 1914 32
43 10 32 468 7
43 0 137 32691 294
43 25 0 8 0
43 6 20 367 6
43 8 66 1274 11
43 14 104 2926 28
43 30 0 5 0
43 9 9 1018 11
43 2 42 4673 49
43 21 81 939 11
43 28 1 52 0
43 5 41 1885 18
43 23 38 280 0
43 27 4 27 0
43 7 216 4579 51
43 4 48 5020 48
43 1 73 1636 19
43 13 82 1808 20
43 16 6 261 2
43 17 6 74 1
43 18 24 198 3
43 3 59 4077 46
43 19 51 723 7
43 20 431 8252 127
43 15 5 38 0
43 22 29 369 7
43 24 25 287 2
43 26 745 3648 59
44 31 17 11 1
44 29 25 62 0
44 12 8 352 7
44 11 75 1960 32
44 10 28 486 7
44 0 154 32771 294
44 25 0 8 0
44 6 17 382 6
44 8 60 1315 11
44 14 85 3002 29
44 30 0 5 0
44 9 6 1024 11
44 2 48 4697 49
44 21 67 987 12
44 28 2 52 0
44 5 42 1912 18
44 23 53 301 1
44 27 3 30 0
44 7 206 4713 52
44 4 40 5048 49
44 1 72 1673 19
44 13 71 1859 20
44 16 5 264 2
44 17 8 79 1
44 18 25 212 3
44 3 44 4117 46
44 19 58 757 7
44 20 428 8542 128
44 15 5 41 0
44 22 41 384 7
44 24 21 300 2
44 26 805 4153 63
45 31 27 21 1
45 29 31 75 0
45 12 6 356 7
45 11 73 2009 33
45 10 40 501 7
45 0 168 32851 295
45 25 2 8 0
45 6 14 391 6
45 8 61 1353 11
45 14 64 3065 29
