date nvariants nhealthy ninfected nrecovered ndeceased
997 267 258 188 246694 554
998 267 256 189 246828 555
999 267 290 155 246977 555
1000 267 279 166 247096 555
1001 267 256 189 247217 555
1002 267 271 173 247364 556
1003 267 276 168 247494 556
1004 267 253 190 247613 557
1005 267 252 190 247749 558
1006 267 269 172 247896 559
1007 268 262 179 248027 559
1008 268 262 179 248163 559
1009 268 289 152 248307 559
1010 268 275 166 248430 559
1011 268 270 171 248555 559
1012 268 274 166 248686 560
1013 268 278 161 248818 561
1014 268 267 172 248943 561
1015 268 260 179 249073 561
1016 268 267 172 249211 561
1017 268 297 142 249351 561
1018 268 281 158 249460 561
1019 268 281 158 249586 561
1020 268 266 173 249706 561
1021 268 280 159 249839 561
1022 268 280 159 249964 561
1023 268 277 162 250089 561
1024 268 271 168 250212 561
1025 269 281 158 250337 561
1026 269 299 140 250474 561
1027 270 267 172 250575 561
1028 270 273 166 250709 561
1029 270 276 163 250836 561
1030 270 284 155 250968 561
1031 270 289 149 251095 562
1032 270 278 160 251218 562
1033 270 269 169 251344 562
1034 270 281 157 251478 562
1035 270 272 166 251600 562
1036 270 267 171 251729 562
1037 270 275 163 251864 562
1038 270 274 163 251989 563
1039 270 278 159 252113 563
1040 270 252 185 252221 563
1041 270 272 165 252363 563
1042 270 266 171 252486 563
1043 270 266 171 252618 563
1044 270 262 174 252745 564
1045 271 264 172 252878 564
1046 271 258 178 253008 564
1047 271 264 172 253145 564
1048 271 264 172 253274 564
1049 271 279 157 253410 564
1050 271 277 159 253535 564
1051 271 283 153 253661 564
1052 271 284 152 253780 564
1053 271 249 187 253888 564
1054 271 274 162 254033 564
1055 271 261 174 254155 565
1056 272 297 138 254301 565
1057 272 296 138 254420 566
1058 272 266 168 254524 566
1059 272 285 148 254656 567
1060 274 244 189 254760 567
1061 274 252 180 254888 568
