virus source source_exposure_date gentime
0 8008 22 -1
0 8009 22 -1
0 8010 22 -1
0 8011 22 -1
0 8012 22 -1
0 8013 22 -1
0 8014 22 -1
0 8015 22 -1
0 8016 22 1
0 8647 22 1
0 8648 22 1
0 8649 22 1
0 8650 22 1
0 8651 22 1
0 8652 22 1
0 8653 22 1
0 8654 22 1
0 8655 22 1
0 8656 22 1
0 9337 22 -1
0 9338 22 -1
0 9339 22 -1
0 9340 22 -1
0 9341 22 -1
0 9342 22 -1
0 9343 22 -1
0 9344 22 -1
0 9345 22 -1
0 9346 22 1
0 9632 22 1
0 9633 22 1
0 9634 22 1
0 9635 22 1
0 9636 22 1
0 9637 22 1
0 9638 22 1
0 9639 22 1
0 9640 22 1
0 9641 22 1
0 499 23 -1
0 500 23 -1
0 501 23 -1
0 502 23 -1
0 503 23 -1
0 504 23 -1
0 505 23 -1
0 506 23 -1
0 507 23 -1
0 508 23 1
0 538 23 1
0 539 23 1
0 540 23 1
0 541 23 1
0 542 23 1
0 543 23 1
0 544 23 1
0 545 23 1
0 546 23 1
0 547 23 1
0 1954 23 -1
0 1955 23 -1
0 1956 23 -1
0 1957 23 -1
0 1958 23 -1
0 1959 23 -1
0 1960 23 -1
0 1961 23 -1
0 1962 23 -1
0 1963 23 1
0 2087 23 1
0 2088 23 1
0 2089 23 1
0 2090 23 1
0 2091 23 1
0 2092 23 1
0 2093 23 1
0 2094 23 1
0 2095 23 1
0 2096 23 1
0 2665 23 -1
0 2666 23 -1
0 2667 23 -1
0 2668 23 -1
0 2669 23 -1
0 2670 23 -1
0 2671 23 -1
0 2672 23 -1
0 2673 23 -1
0 2674 23 1
0 2741 23 1
0 2742 23 1
0 2743 23 1
0 2744 23 1
0 2745 23 1
0 2746 23 1
0 2747 23 1
0 2748 23 1
0 2749 23 1
0 2750 23 1
0 5319 23 -1
0 5320 23 -1
0 5321 23 -1
0 5322 23 -1
0 5323 23 -1
0 5324 23 -1
0 5325 23 -1
0 5326 23 -1
0 5327 23 -1
0 5328 23 1
0 5431 23 1
0 5432 23 1
0 5433 23 1
0 5434 23 1
0 5435 23 1
0 5436 23 1
0 5437 23 1
0 5438 23 1
0 5439 23 1
0 5440 23 1
0 8017 23 -1
0 8018 23 -1
0 8019 23 -1
0 8020 23 -1
0 8021 23 -1
0 8022 23 -1
0 8023 23 -1
0 8024 23 -1
0 8025 23 -1
0 8026 23 1
0 8637 23 1
0 8638 23 1
0 8639 23 1
0 8640 23 1
0 8641 23 1
0 8642 23 1
0 8643 23 1
0 8644 23 1
0 8645 23 1
0 8646 23 1
0 9347 23 -1
0 9348 23 -1
0 9349 23 -1
0 9350 23 -1
0 9351 23 -1
0 9352 23 -1
0 9353 23 -1
0 9354 23 -1
0 9355 23 -1
0 9356 23 1
0 9622 23 1
0 9623 23 1
0 9624 23 1
0 9625 23 1
0 9626 23 1
0 9627 23 1
0 9628 23 1
0 9629 23 1
0 9630 23 1
0 9631 23 1
0 509 24 -1
0 510 24 -1
0 511 24 -1
0 512 24 -1
0 513 24 -1
0 514 24 -1
0 515 24 -1
0 516 24 -1
0 517 24 -1
0 518 24 -1
0 528 24 -1
0 529 24 1
0 530 24 1
0 531 24 1
0 532 24 1
0 533 24 1
0 534 24 1
0 535 24 1
0 536 24 1
0 537 24 1
0 1964 24 -1
0 1965 24 -1
0 1966 24 -1
0 1967 24 -1
0 1968 24 -1
0 1969 24 -1
0 1970 24 -1
0 1971 24 -1
0 1972 24 -1
0 1973 24 1
0 2077 24 1
0 2078 24 1
0 2079 24 1
0 2080 24 1
0 2081 24 1
0 2082 24 1
0 2083 24 1
0 2084 24 1
0 2085 24 1
0 2086 24 1
0 2675 24 -1
0 2676 24 -1
0 2677 24 -1
0 2678 24 -1
0 2679 24 -1
0 2680 24 -1
0 2681 24 -1
0 2682 24 -1
0 2683 24 -1
0 2684 24 1
0 2731 24 1
0 2732 24 1
0 2733 24 1
0 2734 24 1
0 2735 24 1
0 2736 24 1
0 2737 24 1
0 2738 24 1
0 2739 24 1
0 2740 24 1
0 5329 24 -1
0 5330 24 -1
0 5331 24 -1
0 5332 24 -1
0 5333 24 -1
0 5334 24 -1
0 5335 24 -1
0 5336 24 -1
0 5337 24 -1
0 5338 24 1
0 5421 24 1
0 5422 24 1
0 5423 24 1
0 5424 24 1
0 5425 24 1
0 5426 24 1
0 5427 24 1
0 5428 24 1
0 5429 24 1
0 5430 24 1
0 8027 24 -1
0 8028 24 -1
0 8029 24 -1
0 8030 24 -1
0 8031 24 -1
0 8032 24 -1
0 8033 24 -1
0 8034 24 -1
0 8035 24 -1
0 8036 24 1
0 8627 24 1
0 8628 24 1
0 8629 24 1
0 8630 24 1
0 8631 24 1
0 8632 24 1
0 8633 24 1
0 8634 24 1
0 8635 24 1
0 8636 24 1
0 9357 24 -1
0 9358 24 -1
0 9359 24 -1
0 9360 24 -1
0 9361 24 -1
0 9362 24 -1
0 9363 24 -1
0 9364 24 -1
0 9365 24 -1
0 9366 24 1
0 9612 24 1
0 9613 24 1
0 9614 24 1
0 9615 24 1
0 9616 24 1
0 9617 24 1
0 9618 24 1
0 9619 24 1
0 9620 24 1
0 9621 24 1
0 519 25 -1
0 520 25 -1
0 521 25 -1
0 522 25 -1
0 523 25 -1
0 524 25 -1
0 525 25 -1
0 526 25 -1
0 527 25 -1
0 1974 25 -1
0 1975 25 -1
0 1976 25 -1
0 1977 25 -1
0 1978 25 -1
0 1979 25 -1
0 1980 25 -1
0 1981 25 -1
0 1982 25 -1
0 1983 25 1
0 2067 25 1
0 2068 25 1
0 2069 25 1
0 2070 25 1
0 2071 25 1
0 2072 25 1
0 2073 25 1
0 2074 25 1
0 2075 25 1
0 2076 25 1
0 2685 25 -1
0 2686 25 -1
0 2687 25 -1
0 2688 25 -1
0 2689 25 -1
0 2690 25 -1
0 2691 25 -1
0 2692 25 -1
0 2693 25 -1
0 2694 25 1
0 2721 25 1
0 2722 25 1
0 2723 25 1
0 2724 25 1
0 2725 25 1
0 2726 25 1
0 2727 25 1
0 2728 25 1
0 2729 25 1
0 2730 25 1
0 5339 25 -1
0 5340 25 -1
0 5341 25 -1
0 5342 25 -1
0 5343 25 -1
0 5344 25 -1
0 5345 25 -1
0 5346 25 -1
0 5347 25 -1
0 5348 25 1
0 5411 25 1
0 5412 25 1
0 5413 25 1
0 5414 25 1
0 5415 25 1
0 5416 25 1
0 5417 25 1
0 5418 25 1
0 5419 25 1
0 5420 25 1
0 8037 25 -1
0 8038 25 -1
0 8039 25 -1
0 8040 25 -1
0 8041 25 -1
0 8042 25 -1
0 8043 25 -1
0 8044 25 -1
0 8045 25 -1
0 8046 25 1
0 8617 25 1
0 8618 25 1
0 8619 25 1
0 8620 25 1
0 8621 25 1
0 8622 25 1
0 8623 25 1
0 8624 25 1
0 8625 25 1
0 8626 25 1
0 9367 25 -1
0 9368 25 -1
0 9369 25 -1
0 9370 25 -1
0 9371 25 -1
0 9372 25 -1
0 9373 25 -1
0 9374 25 -1
0 9375 25 -1
0 9376 25 1
0 9602 25 1
0 9603 25 1
0 9604 25 1
0 9605 25 1
0 9606 25 1
0 9607 25 1
0 9608 25 1
0 9609 25 1
0 9610 25 1
0 9611 25 1
0 1984 26 -1
0 1985 26 -1
0 1986 26 -1
0 1987 26 -1
0 1988 26 -1
0 1989 26 -1
0 1990 26 -1
0 1991 26 -1
0 1992 26 -1
0 1993 26 1
0 2057 26 1
0 2058 26 1
0 2059 26 1
0 2060 26 1
0 2061 26 1
0 2062 26 1
0 2063 26 1
0 2064 26 1
0 2065 26 1
0 2066 26 1
0 2695 26 -1
0 2696 26 -1
0 2697 26 -1
0 2698 26 -1
0 2699 26 -1
0 2700 26 -1
0 2701 26 -1
0 2702 26 -1
0 2703 26 -1
0 2704 26 -1
0 2711 26 -1
0 2712 26 -1
0 2713 26 -1
0 2714 26 -1
0 2715 26 1
0 2716 26 1
0 2717 26 1
0 2718 26 1
0 2719 26 1
0 2720 26 1
0 5349 26 -1
0 5350 26 -1
0 5351 26 -1
0 5352 26 -1
